城市,面积_平米,房间数量,价格_元每平米,价格等级,地铁情况,停车情况
beijing,344.0,4,180000.0,high,非地铁房,有停车位
beijing,155.5,3,145000.0,high,地铁房,无停车位
beijing,168.0,3,140000.0,high,地铁房,无停车位
beijing,206.0,4,140000.0,high,地铁房,无停车位
beijing,200.0,4,125000.0,high,地铁房,有停车位
beijing,178.0,4,120000.0,high,非地铁房,有停车位
beijing,155.0,4,112000.0,high,地铁房,无停车位
beijing,165.0,4,112000.0,high,地铁房,有停车位
beijing,228.0,4,110000.0,high,地铁房,有停车位
beijing,134.0,4,110000.0,high,地铁房,无停车位
beijing,227.0,2,106000.0,high,地铁房,有停车位
beijing,145.0,4,106000.0,high,地铁房,有停车位
beijing,219.0,2,100800.0,high,地铁房,有停车位
beijing,125.0,4,99000.0,high,地铁房,无停车位
beijing,251.0,2,98000.0,high,非地铁房,无停车位
beijing,135.5,4,95000.0,high,地铁房,有停车位
beijing,134.5,4,95000.0,high,地铁房,无停车位
beijing,143.5,4,95000.0,high,地铁房,有停车位
beijing,158.5,4,93380.0,high,非地铁房,有停车位
beijing,150.5,4,92000.0,high,地铁房,无停车位
beijing,215.0,4,92000.0,high,地铁房,无停车位
beijing,135.5,4,88000.0,high,非地铁房,无停车位
beijing,149.0,4,88000.0,high,非地铁房,无停车位
beijing,138.0,4,85000.0,high,地铁房,有停车位
beijing,147.5,4,85000.0,high,非地铁房,有停车位
beijing,126.0,4,85000.0,high,非地铁房,有停车位
beijing,153.5,4,85000.0,high,非地铁房,有停车位
beijing,152.5,4,84555.0,high,非地铁房,有停车位
beijing,135.0,4,84500.0,high,地铁房,有停车位
beijing,204.5,4,83160.0,high,非地铁房,无停车位
beijing,157.5,3,83000.0,high,地铁房,无停车位
beijing,170.0,4,83000.0,high,非地铁房,无停车位
beijing,293.5,4,82500.0,high,地铁房,有停车位
beijing,117.5,4,82000.0,high,非地铁房,有停车位
beijing,110.0,4,82000.0,high,非地铁房,无停车位
beijing,196.0,4,82000.0,high,非地铁房,无停车位
beijing,133.0,4,81000.0,high,地铁房,有停车位
beijing,128.5,4,80000.0,high,地铁房,无停车位
beijing,110.0,4,80000.0,high,地铁房,无停车位
beijing,146.0,4,78000.0,high,非地铁房,无停车位
beijing,158.0,4,78000.0,high,非地铁房,有停车位
beijing,82.0,2,78000.0,high,非地铁房,无停车位
beijing,147.0,4,76000.0,high,地铁房,有停车位
beijing,93.5,4,75500.0,high,非地铁房,无停车位
beijing,133.0,4,75000.0,high,非地铁房,无停车位
beijing,108.0,4,75000.0,high,地铁房,无停车位
beijing,122.5,4,75000.0,high,地铁房,有停车位
beijing,106.0,3,74800.0,high,非地铁房,有停车位
beijing,121.0,4,73000.0,high,地铁房,有停车位
beijing,142.0,3,72000.0,high,地铁房,有停车位
beijing,140.0,4,71000.0,high,地铁房,有停车位
beijing,190.0,4,69500.0,high,非地铁房,有停车位
beijing,175.0,2,68600.0,high,地铁房,有停车位
beijing,109.5,4,68500.0,high,非地铁房,有停车位
beijing,104.5,3,68000.0,high,非地铁房,无停车位
beijing,202.0,2,65500.0,high,地铁房,无停车位
beijing,122.0,4,65000.0,high,非地铁房,有停车位
beijing,113.5,4,65000.0,high,非地铁房,有停车位
beijing,129.0,4,65000.0,high,非地铁房,有停车位
beijing,180.0,3,65000.0,high,非地铁房,无停车位
beijing,103.0,4,64000.0,high,非地铁房,无停车位
beijing,120.5,4,63000.0,high,非地铁房,无停车位
beijing,230.0,4,63000.0,high,地铁房,无停车位
beijing,109.0,3,63000.0,high,非地铁房,无停车位
beijing,134.0,4,63000.0,high,非地铁房,有停车位
beijing,108.5,4,62000.0,high,地铁房,有停车位
beijing,106.0,4,62000.0,high,非地铁房,有停车位
beijing,105.0,4,62000.0,high,地铁房,无停车位
beijing,157.5,4,62000.0,high,地铁房,无停车位
beijing,92.5,4,60000.0,high,地铁房,有停车位
beijing,90.5,4,60000.0,high,非地铁房,有停车位
beijing,89.0,3,60000.0,high,非地铁房,有停车位
beijing,135.5,4,59000.0,high,地铁房,无停车位
beijing,134.0,3,58000.0,high,非地铁房,无停车位
beijing,100.0,4,58000.0,high,地铁房,有停车位
beijing,170.5,4,58000.0,high,非地铁房,无停车位
beijing,100.5,4,58000.0,high,非地铁房,有停车位
beijing,126.5,4,58000.0,high,非地铁房,有停车位
beijing,138.0,3,58000.0,high,非地铁房,有停车位
beijing,147.5,4,57000.0,high,非地铁房,有停车位
beijing,112.5,4,56000.0,high,非地铁房,有停车位
beijing,106.0,3,55188.0,high,非地铁房,有停车位
beijing,124.5,4,55000.0,high,地铁房,有停车位
beijing,210.5,4,55000.0,high,非地铁房,有停车位
beijing,128.5,4,55000.0,high,非地铁房,有停车位
beijing,116.0,4,55000.0,high,非地铁房,有停车位
beijing,166.5,4,55000.0,high,地铁房,无停车位
beijing,167.5,4,55000.0,high,非地铁房,有停车位
beijing,99.0,4,55000.0,high,地铁房,无停车位
beijing,109.0,3,55000.0,high,非地铁房,有停车位
beijing,103.5,4,54500.0,high,非地铁房,有停车位
beijing,104.0,4,53500.0,high,非地铁房,有停车位
beijing,114.0,4,53000.0,high,非地铁房,有停车位
beijing,99.5,4,52800.0,high,非地铁房,无停车位
beijing,124.5,4,52000.0,high,非地铁房,有停车位
beijing,148.5,4,52000.0,high,地铁房,有停车位
beijing,82.0,4,50000.0,high,地铁房,无停车位
beijing,166.0,3,50000.0,high,非地铁房,有停车位
beijing,175.0,4,50000.0,high,地铁房,无停车位
beijing,88.5,4,50000.0,high,地铁房,有停车位
beijing,138.0,2,50000.0,high,地铁房,无停车位
beijing,89.0,4,50000.0,high,非地铁房,有停车位
beijing,114.0,4,49520.0,medium,非地铁房,有停车位
beijing,133.0,4,49000.0,medium,非地铁房,有停车位
beijing,118.0,3,48000.0,medium,地铁房,无停车位
beijing,160.0,4,47000.0,medium,地铁房,有停车位
beijing,94.5,4,46500.0,medium,非地铁房,有停车位
beijing,237.5,4,46000.0,medium,地铁房,有停车位
beijing,153.5,4,46000.0,medium,非地铁房,有停车位
beijing,184.5,4,45000.0,medium,非地铁房,有停车位
beijing,135.0,4,45000.0,medium,地铁房,有停车位
beijing,100.5,3,45000.0,medium,非地铁房,有停车位
beijing,184.0,4,45000.0,medium,非地铁房,有停车位
beijing,114.5,2,45000.0,medium,地铁房,无停车位
beijing,233.5,4,45000.0,medium,非地铁房,有停车位
beijing,137.5,4,43000.0,medium,非地铁房,有停车位
beijing,114.0,4,43000.0,medium,非地铁房,无停车位
beijing,220.0,4,42000.0,medium,非地铁房,有停车位
beijing,97.0,2,42000.0,medium,地铁房,有停车位
beijing,217.5,2,42000.0,medium,非地铁房,有停车位
beijing,110.0,4,40500.0,medium,地铁房,有停车位
beijing,118.5,4,39999.0,medium,非地铁房,有停车位
beijing,106.0,4,39000.0,medium,非地铁房,有停车位
