"房源名称","地址","户型","占地面积","价格（每平方米）","特点"
"京基御景珑庭住宅","宝安区","3室4室","95-132㎡","56000","看房津贴 大阳台 双卫生间 双阳台 "
"德弘天下华府","罗湖区","2室3室","69-76㎡","105000","看房津贴 多轨交 轨交房 高绿化率 "
"保利·明玥澜岸花园","坪山区","2室3室4室","70-113㎡","29000","看房津贴 高绿化率 主卧套房 装修交付 "
"钧濠·Mix Park","龙岗区","公寓","29-58㎡","43000","看房津贴 卧室全朝南 放松限购 低总价 "
"独树阳光里","罗湖区","3室4室","91-158㎡","69800","看房津贴 多轨交 轨交房 双阳台 "
"宏发悦见公园里","光明区","3室4室","85-120㎡","45000","看房津贴 一房一价 多轨交 轨交房 "
"海峦坊","宝安区","2室3室","52-96㎡","72000","看房津贴 一房一价 轨交房 双阳台 "
"京基·天韵府","罗湖区","2室3室4室","70-180㎡","66000","看房津贴 轨交房 双阳台 主卧套房 "
"远洋天祺","龙岗区","3室","79-89㎡","35000","看房津贴 一房一价 轨交房 高绿化率 "
"颐翠名庭","龙岗区","2室","89-89㎡","38000","看房津贴 双阳台 主卧套房 卧室全朝南 "
"绿城·桂语兰庭","光明区","2室3室4室","65-128㎡","50361","看房津贴 一房一价 多轨交 轨交房 "
"盛璟润府","龙华区","2室3室4室","95-203㎡","62000","看房津贴 一房一价 轨交房 大阳台 "
"溪山君樾","龙华区","4室","120-195㎡","78900","看房津贴 一房一价 多轨交 轨交房 "
"京基东滨时代大厦","南山区",,"69373㎡","68000","看房津贴 轨交房 装修交付 学校 "
"仁恒深之源","罗湖区",,"60-249㎡","55000","看房津贴 多轨交 轨交房 卧室全朝南 "
"承翰湾尚国际","福田区","2室3室4室","78-175㎡","100000","看房津贴 一房一价 多轨交 轨交房 "
"卓越九珑","南山区","3室4室","83-145㎡","90000","看房津贴 一房一价 多轨交 轨交房 "
"柏悦湾","南山区","公寓","36-225㎡","80000","看房津贴 多轨交 轨交房 装修交付 "
"兆鑫汇金广场","罗湖区","公寓","51-106㎡","45000","看房津贴 多轨交 轨交房 装修交付 "
"金光华凤凰九里","龙岗区","2室3室4室","67-106㎡","37000","看房津贴 一房一价 高绿化率 主卧套房 "
"京基·御景峯","南山区","公寓","68-228㎡","55000","看房津贴 一房一价 轨交房 装修交付 "
"万福花园","龙华区","2室3室4室","78-135.7㎡","64000","看房津贴 一房一价 高绿化率 双阳台 "
"豪方东园","坪山区","3室4室5室6室","78-305㎡","41000","看房津贴 轨交房 高绿化率 双阳台 "
"华润前海大厦","南山区",,"136.54-286.62㎡","85000","看房津贴 多轨交 轨交房 购物中心 "
"中通永安大厦","盐田区",,"94856㎡","36000","看房津贴 轨交房 放松限购 低单价 "
"特发香阅四季","龙岗区","3室4室","89-126㎡","51000","看房津贴 一房一价 轨交房 高绿化率 "
"河东骏濠国际","宝安区","公寓","24-73㎡","53000","看房津贴 一房一价 多轨交 轨交房 "
"卓能雅苑","龙华区","2室3室","77-108㎡","50000","看房津贴 学校 购物中心 配套纯熟 "
"卓越荣津瀚海湾名庭","盐田区","公寓","30-70㎡","54000","看房津贴 一房一价 轨交房 主卧套房 "
"宏发悦云花园","宝安区","3室4室","79-128㎡","49235","看房津贴 一房一价 轨交房 双阳台 "
