"职业","工作地址","薪资"
"送餐员-城市里的追风勇士","朝外大街","8000-14000元"
"还款压力大试试送餐员","宋家庄…","9000-14000元"
"不限工龄包住月1w","石佛营","8000-10000元"
"站点直招送餐员好送好取","亦庄","9000-14000元"
"可试跑招C1司机管油管住","百子湾","13000-15000元"
"送餐员你的时间价值非凡底薪灵…","昌平县城","9800-12800元"
"公司直招：无任何费用招司机包住","张家湾","9000-13000元"
"古装模特走秀十天一结无任何费用","东直门外","10000-20000元"
"10k起晚礼服汉服礼仪可小白…","东单","10000-20000元"
"给公司开车专职司机有住宿新人…","马驹桥","10000-14000元"
"车队长（省内运输）","媒体村","8000-17000元"
"有人带公司提供住宿月1.8w","新华大街","12000-18000元"
"网约车司机包住混动4800开走","马家堡","12000-15000元"
"月入过万高薪聘请司机","通州北苑","13000-17000元"
"时间自由短期结账包住司机","石门","14000-15000元"
"司机/周结/零成本/包住…","通州北苑","13000-17000元"
"日薪四百网约车C本司机可短期","丰益桥","9000-14999元"
"招网约车司机新车0公里480…","世界公园","10000-15000元"
"急招C1司机一名管住可周结","回龙观","14000-15000元"
"0元提车月入过万司机包住","石佛营","12000-15000元"
"急招市场营销专员","台湖镇","面议"
"网格员","万柳","面议"
"快递员公司直招不收取任何费用","沙河","8000-13000元"
"货运司机/线上接单","媒体村","10000-15000元"
"时间自由安排周末双休月1.2w","新宫","6000-12000元"
"一人一车客运司机","昌平县城","9000-12000元"
"日结周结约车司机管住","马驹桥","9000-15000元"
"北京急招15K五险一金包住司机","六里桥","13000-15000元"
"周结0押金0租金包住月过万司机","亦庄","13000-15000元"
"曹操出行平台配全新车招官方网…","安慧桥","12000-15000元"
"0押金日结小车司机月入过万","南苑","9000-15000元"
"包住时间自由月1.3w","通州北苑","10000-13000元"
"合作司机（月1.5w包住）","张家湾","10000-15000元"
"无押金全北京跑包住五险一金招…","后沙峪","13000-15000元"
"C2司机新手包教会月入过万","望京","14000-15000元"
"客运司机/朝九晚五","孙河","10000-13000元"
"C1司机月入过万不是梦","亦庄","8000-13000元"
"直招上班司机跑8小时底薪一万","马家堡","10000-14000元"
"诚聘C1司机一名管住周结","后沙峪","12000-15000元"
"月1.5w周末双休包吃","西客站","面议"
"底薪1w周末双休","花乡","面议"
"正规曹操出行公司急招C1网约…","安慧桥","13000-15000元"
"磨工","上庄","面议"
"北京地铁直招安检员/零费用入职","小红门","5500-8000元"
"中医按摩师健康管理包食宿","东城","8000-15000元"
"库房直招搬运400天天有活","玉桥","9500-11000元"
"北京急招理疗师推拿按摩师","定福庄","8000-12000元"
"五险一金人事行政主管双休","西直门","6000-7000元"
"安检工作轻松上岗上班快日结2…","西城","8000-8500元"
"急聘大厦保安队长10名","来广营","6500-6800元"
"小商品包装普工260/天","亦庄","6500-8500元"
"急招角色演员五险包吃住","CBD","8000-10000元"
"数据分析实习生（不限经验接受…","西直门","面议"
"小件搬运日均460天结包吃住","六里桥","9500-11000元"
"消防中控值机员","北太平庄","4900-6000元"
"艺人经纪助理无经验包吃住","CBD","8000-10000元"
"18到55内门卫保安管吃住月…","国贸","4500-6500元"
"小件装卸450包吃住","通州周边","9000-10000元"
"7k中控员或设备运行","天通苑","7000-7500元"
"北京军区养老院招护工10名名…","阎村","10000-12000元"
"急急急不压工资分拣员提供吃住","长阳","8500-9900元"
"北京三甲医院养老院找护工","四惠","7000-12000元"
"急聘包装运动鞋300日结","北京","6500-7800元"
"7k招公园景区保安包食宿","大兴","5000-7000元"
"北京国企电子蓝牙耳机包装26…","亦庄","7500-8500元"
"解放军医院招护工30名包住可…","北七家","8000-12000元"
"聘广告制作安装/全能的你","老山","7000-9000元"
"招聘1单1万美业电销提成24…","通州北苑","20000-30000元"
"招足疗师和学徒五五分轻松过万","丰台体…","10000-15000元"
"本人招小车司机一名五险双休","马家堡","13000-15000元"
