"职业","工作地址","薪资"
"外卖员-太原市内配送","柳巷","6000-10000元"
"滴滴司机包车可日结","火车站","8000-12000元"
"快递员急招当天上岗","南内环","5000-8000元"
"库房搬运工包食宿","小店区","4500-6500元"
"保安队长五险一金","万柏林区","4000-5500元"
"网约车司机自带车优先","迎泽区","9000-13000元"
"餐厅服务员包吃住","铜锣湾","3500-4500元"
"电子厂普工三班倒","经济开发区","4000-6000元"
"客服代表双休五险","长风街","4000-5000元"
"货运司机B2驾照","尖草坪区","8000-11000元"
"超市理货员就近安排","胜利街","3000-4000元"
"按摩师学徒可培训","五一路","5000-8000元"
"销售代表底薪加提成",亲贤街,6000-12000元
"装修工人日结算","晋阳街","200-350元/天"
"家政保洁小时工","长治路","25-35元/小时"
"电话销售无经验可培训","建设路","4000-8000元"
"夜班保安4小时制","太钢","120-150元/天"
"代驾司机时间自由","全太原","150-300元/天"
"月嫂育婴师高薪","南中环","8000-15000元"
"网络主播可兼职","大南门","3000-10000元"
"收银员商场专柜","茂业天地","3500-4500元"
"厨师学徒包教会","食品街","4000-6000元"
"汽车修理工","汽车城","5000-8000元"
"美容师提成丰厚","府西街","4000-10000元"
清洁工早班6-10点,高新区,"2800-3500元"
"促销员周末兼职","华宇购物中心","150-200元/天"
"焊工有证优先","清徐县","6000-9000元"
"前台接待形象佳","南内环","3500-4500元"
"水电工维修师傅","杏花岭区","5000-7000元"
