城市,职业类型,职位名称,工作地址,平均薪资_元,薪资等级,住宿情况,保险情况,招聘紧急度,薪资结算方式,经验要求
beijing,其他职业,招聘1单1万美业电销提成24…,通州北苑,25000.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,模特展示,古装模特走秀十天一结无任何费用,东直门外,15000.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,10k起晚礼服汉服礼仪可小白…,东单,15000.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,有人带公司提供住宿月1.8w,新华大街,15000.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,月入过万高薪聘请司机,通州北苑,15000.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,司机/周结/零成本/包住…,通州北苑,15000.0,high,包住宿,无保险,普通,月结,有经验要求
beijing,司机,C2司机新手包教会月入过万,望京,14500.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,时间自由短期结账包住司机,石门,14500.0,high,包住宿,无保险,普通,月结,有经验要求
beijing,司机,急招C1司机一名管住可周结,回龙观,14500.0,high,不包住宿,无保险,急招,月结,有经验要求
beijing,其他职业,正规曹操出行公司急招C1网约…,安慧桥,14000.0,high,不包住宿,无保险,急招,月结,有经验要求
beijing,司机,本人招小车司机一名五险双休,马家堡,14000.0,high,不包住宿,有保险,普通,月结,有经验要求
beijing,司机,可试跑招C1司机管油管住,百子湾,14000.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,北京急招15K五险一金包住司机,六里桥,14000.0,high,包住宿,有保险,急招,月结,有经验要求
beijing,司机,周结0押金0租金包住月过万司机,亦庄,14000.0,high,包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,无押金全北京跑包住五险一金招…,后沙峪,14000.0,high,包住宿,有保险,普通,月结,有经验要求
beijing,司机,诚聘C1司机一名管住周结,后沙峪,13500.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,网约车司机包住混动4800开走,马家堡,13500.0,high,包住宿,无保险,普通,月结,有经验要求
beijing,司机,0元提车月入过万司机包住,石佛营,13500.0,high,包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,曹操出行平台配全新车招官方网…,安慧桥,13500.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,按摩理疗,招足疗师和学徒五五分轻松过万,丰台体…,12500.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,车队长（省内运输）,媒体村,12500.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,招网约车司机新车0公里480…,世界公园,12500.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,货运司机/线上接单,媒体村,12500.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,合作司机（月1.5w包住）,张家湾,12500.0,high,包住宿,无保险,普通,月结,有经验要求
beijing,司机,直招上班司机跑8小时底薪一万,马家堡,12000.0,high,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,给公司开车专职司机有住宿新人…,马驹桥,12000.0,high,不包住宿,无保险,普通,月结,无经验要求
beijing,司机,日薪四百网约车C本司机可短期,丰益桥,12000.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,日结周结约车司机管住,马驹桥,12000.0,high,不包住宿,无保险,普通,日结,有经验要求
beijing,司机,0押金日结小车司机月入过万,南苑,12000.0,high,不包住宿,无保险,普通,日结,有经验要求
beijing,司机,客运司机/朝九晚五,孙河,11500.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,按摩理疗,中医按摩师健康管理包食宿,东城,11500.0,medium,包住宿,无保险,普通,月结,有经验要求
beijing,外卖配送,还款压力大试试送餐员,宋家庄…,11500.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,外卖配送,站点直招送餐员好送好取,亦庄,11500.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,包住时间自由月1.3w,通州北苑,11500.0,medium,包住宿,无保险,普通,月结,有经验要求
beijing,外卖配送,送餐员你的时间价值非凡底薪灵…,昌平县城,11300.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,护理育婴,北京军区养老院招护工10名名…,阎村,11000.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,外卖配送,送餐员-城市里的追风勇士,朝外大街,11000.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,公司直招：无任何费用招司机包住,张家湾,11000.0,medium,包住宿,无保险,普通,月结,有经验要求
beijing,司机,C1司机月入过万不是梦,亦庄,10500.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,快递配送,快递员公司直招不收取任何费用,沙河,10500.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,司机,一人一车客运司机,昌平县城,10500.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,普工包装,库房直招搬运400天天有活,玉桥,10250.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,普工包装,小件搬运日均460天结包吃住,六里桥,10250.0,medium,不包住宿,无保险,普通,日结,有经验要求
beijing,按摩理疗,北京急招理疗师推拿按摩师,定福庄,10000.0,medium,不包住宿,无保险,急招,月结,有经验要求
beijing,护理育婴,解放军医院招护工30名包住可…,北七家,10000.0,medium,包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,小件装卸450包吃住,通州周边,9500.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,护理育婴,北京三甲医院养老院找护工,四惠,9500.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,急急急不压工资分拣员提供吃住,长阳,9200.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,急招角色演员五险包吃住,CBD,9000.0,medium,不包住宿,有保险,急招,月结,有经验要求
beijing,其他职业,艺人经纪助理无经验包吃住,CBD,9000.0,medium,不包住宿,无保险,普通,月结,无经验要求
beijing,其他职业,不限工龄包住月1w,石佛营,9000.0,medium,包住宿,无保险,普通,月结,无经验要求
beijing,其他职业,时间自由安排周末双休月1.2w,新宫,9000.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,安保安检,安检工作轻松上岗上班快日结2…,西城,8250.0,medium,不包住宿,无保险,普通,日结,有经验要求
beijing,其他职业,月1.5w周末双休包吃,西客站,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,底薪1w周末双休,花乡,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
beijing,其他职业,磨工,上庄,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
