"房源名称","地址","户型","占地面积","价格（每平方米）","特点"
"万科东庐","通州区","2室3室4室","65-120㎡","60000","看房津贴 一房一价 轨交房 车位充足 "
"招商璀璨公元","通州区","2室3室4室","77-140㎡","62000","看房津贴 一房一价 轨交房 车位充足 "
"保利·颐璟和煦","顺义区","3室4室","120-170㎡","38000","看房津贴 低容积 车位充足 主卧套房 "
"橡树湾","大兴区","2室3室4室","73-168㎡","63000","看房津贴 一房一价 主卧套房 大户型 "
"建发·观堂府","昌平区","2室3室4室","63-186㎡","55000","看房津贴 轨交房 车位充足 主卧套房 "
"中建宸庐云起","顺义区","3室4室低密住宅","120-320㎡","42000","看房津贴 一房一价 低容积 车位充足 "
"招商中建·顺义臻珑府","顺义区","2室3室4室","78-134㎡","39000","看房津贴 一房一价 车位充足 主卧套房 "
"云筑·二期","朝阳区","2室3室4室","114-152㎡","75000","看房津贴 主卧套房 装修交付 大户型 "
"保利·朝央和煦","朝阳区","3室4室","121-171㎡","78000","看房津贴 主卧套房 装修交付 学校 "
"天润福熙大道","朝阳区","2室3室4室","117-200㎡","93380","看房津贴 车位充足 高绿化率 全景飘窗 "
"栖海澐颂","海淀区","2室3室4室","81-154㎡","82000","看房津贴 车位充足 主卧套房 装修交付 "
"北京风景","昌平区","3室4室","125-150㎡","43000","看房津贴 低容积 车位充足 主卧套房 "
"天时汤山·御邸","昌平区","1室2室3室4室","56-125㎡","60000","看房津贴 低容积 车位充足 主卧套房 "
"保利·璟山和煦","石景山区","2室3室4室","75-137㎡","62000","看房津贴 一房一价 低容积 车位充足 "
"万科雲庐","丰台区","4室低密住宅","135-330㎡","830","看房津贴 一房一价 车位充足 双阳台 "
"住总兴创·如遇","大兴区","1室2室3室4室","53.9-115.7㎡","28000","看房津贴 车位充足 主卧套房 装修交付 "
"合景寰汇公馆","通州区","商业","77.45-117.19㎡","42000","看房津贴 轨交房 车位充足 装修交付 "
"梧桐山语","昌平区","2室3室4室","62-127㎡","46500","看房津贴 一房一价 车位充足 主卧套房 "
"招商臻园","丰台区","3室4室","97-147㎡","65000","看房津贴 一房一价 车位充足 双阳台 "
"中海云庭","石景山区","3室","98-114㎡","74800","看房津贴 一房一价 车位充足 主卧套房 "
"懋源·煜泽台","丰台区","5室","225-229㎡","106000","看房津贴 多轨交 轨交房 车位充足 "
"顺鑫·颐和天璟禧润","顺义区","3室4室低密住宅","108-336㎡","30000","看房津贴 低容积 车位充足 装修交付 "
"绿城晓风印月","朝阳区","3室4室","102-169㎡","88000","看房津贴 主卧套房 装修交付 学校 "
"国誉·万和城","丰台区","3室4室5室6室","107-480㎡","82500","看房津贴 轨交房 车位充足 "
"北京城建·国誉朝华","通州区","1室2室3室4室","46-118㎡","50000","看房津贴 一房一价 轨交房 主卧套房 "
"中建·云境","丰台区","3室4室","109-192㎡","92000","看房津贴 一房一价 多轨交 轨交房 "
"中海和瑞叁號院","丰台区","3室4室","108-163㎡","95000","看房津贴 多轨交 轨交房 车位充足 "
"北京国贤府","昌平区","4室","115-180㎡","57000","看房津贴 一房一价 低容积 车位充足 "
"帅府·潞苑","通州区","2室4室","89-160㎡","52000","看房津贴 低容积 车位充足 主卧套房 "
"能建·京玥兰园","通州区","2室3室4室","75-135㎡","62000","看房津贴 一房一价 多轨交 轨交房 "
"新御峰","房山区","2室3室","79-129㎡","24000","看房津贴 车位充足 双阳台 主卧套房 "
"住总如院","大兴区","3室低密住宅","98-446㎡","32100","看房津贴 低容积 车位充足 主卧套房 "
"观承大家·洋房","顺义区","4室低密住宅","144-408㎡","296","看房津贴 低容积 车位充足 主卧套房 "
"京投发展·檀谷","门头沟区","3室4室低密住宅","124-245㎡","45000","看房津贴 一房一价 低容积 车位充足 "
"玺悦朝阳","朝阳区","3室4室","120-150㎡","84500","看房津贴 一房一价 轨交房 车位充足 "
"端礼著","丰台区","3室4室","130-180㎡","112000","看房津贴 多轨交 轨交房 双卫生间 "
"西山相府","门头沟区","3室","125-143㎡","58000","看房津贴 主卧套房 大户型 放松限购 "
"中海学府里","石景山区","3室4室","89-127㎡","75000","看房津贴 轨交房 主卧套房 学校 "
"和光煦境","朝阳区","3室4室","106-170㎡","85000","看房津贴 一房一价 轨交房 车位充足 "
"京玺","大兴区","3室4室","79-120㎡","52800","看房津贴 装修交付 学校 购物中心 "
"丽都壹号·峯境","朝阳区","2室3室4室","83-186㎡","95000","看房津贴 一房一价 轨交房 双阳台 "
"玺萌壹号院","丰台区","低密住宅","457-549㎡","4547","看房津贴 多轨交 轨交房 学校 "
"龙湖·观萃","昌平区","2室3室4室","77-129㎡","64000","看房津贴 主卧套房 装修交付 学校 "
"壹品兴创·颐和公馆","大兴区","2室3室4室","75-222㎡","52000","看房津贴 轨交房 车位充足 全景飘窗 "
"北京中国府","丰台区","3室4室","187-240㎡","3300","看房津贴 多轨交 轨交房 低容积 "
"丽苑太和","城区","1室2室3室","96-240㎡","140000","看房津贴 多轨交 轨交房 全景飘窗 "
"天恒摩墅","房山区","低密住宅","140-160㎡","270","看房津贴 放松限购 "
"首城珑玺","朝阳区","低密住宅","347-383㎡","3748","看房津贴 车位充足 卧室全朝南 学校 "
