"房源名称","地址","户型","占地面积","价格（每平方米）","特点"
"绿城春溪雲庐","两江新区","别墅","152-162㎡","26800","一房一价 低容积 车位充足 大阳台 "
"龙湖美林美院","九龙坡区","2室3室4室","71-131㎡","17000","一房一价 轨交房 双阳台 主卧套房 "
"康田宸樾","两江新区","3室4室","96-135㎡","12000","低容积 车位充足 双阳台 主卧套房 "
"津城首府","江津区","3室4室","100-127㎡","5500","车位充足 高绿化率 "
"重庆时代中心","江北区","公寓","51-67㎡","21000","多轨交 轨交房 车位充足 卧室全朝南 "
"金辉彩湖云璟","九龙坡区","3室4室","81-135㎡","19500","一房一价 轨交房 车位充足 双阳台 "
"寻光沙磁","沙坪坝区","3室","86.4-96.71㎡","17000","一房一价 多轨交 轨交房 低容积 "
"启迪协信重庆科技城","江北区","3室4室","98-167㎡","11000","一房一价 车位充足 "
"融创0238","璧山区","3室4室","83.35-124㎡","8000","多轨交 轨交房 车位充足 双卫生间 "
"北碚吾悦广场","北碚区",,"366902㎡","没有价格","轨交房 车位充足 "
"复地君屿墅","渝北区","3室4室别墅","116-227㎡","没有价格","多轨交 轨交房 低容积 车位充足 "
"中粮祥云赋","两江新区","3室4室别墅","88-140㎡","140","轨交房 低容积 双卫生间 双阳台 "
"中南上悦城","大渡口区","2室3室4室","72-115㎡","14000","一房一价 轨交房 低容积 车位充足 "
"恒雅华府","江津区","3室","101.48-103.58㎡","6000","低容积 双阳台 主卧套房 低单价 "
"花溪御府","巴南区","1室2室3室4室","57-111.5㎡","9800","一房一价 轨交房 车位充足 双阳台 "
"成都城投锦樾峰境","九龙坡区","3室4室","99-131㎡","15000","一房一价 多轨交 轨交房 车位充足 "
"中南紫云集","江津区","3室","87-99㎡","没有价格","双阳台 学校 厨卫全明 "
"罗宾森广场尚城华府","渝中区","1室2室3室","72.85-161.55㎡","17500","一房一价 多轨交 轨交房 大阳台 "
"保利观塘","南岸区","2室3室4室","49-130㎡","没有价格","高绿化率 双卫生间 主卧套房 学校 "
"山与城","南岸区","别墅","152-192㎡","190","车位充足 卧室全朝南 学校 购物中心 "
"东原春风印江滨","南岸区","4室别墅","125-182㎡","20000","轨交房 双阳台 主卧套房 大户型 "
"重庆长嘉外滩","南岸区","4室","141.5-360.27㎡","21000","车位充足 双阳台 主卧套房 装修交付 "
"富力湾","渝北区","2室4室5室别墅","62.32-238㎡","没有价格","多轨交 轨交房 车位充足 学校 "
"龙湖金茂北岛N11","渝北区","4室","141-179㎡","20000","轨交房 低容积 车位充足 双阳台 "
"金龙云府","万州区","别墅","119-445㎡","76","车位充足 全景飘窗 大阳台 主卧套房 "
"鸿亨琅阅滨江","万州区","3室","90-99.34㎡","6800","双卫生间 双阳台 主卧套房 低单价 "
"中交锦悦","巴南区","2室3室4室","79-143㎡","8600","轨交房 学校 购物中心 配套纯熟 "
"阅江台","万州区","2室3室4室","73.94-139.51㎡","3800","高绿化率 双卫生间 双阳台 主卧套房 "
"万华麓悦江城","两江新区","3室4室","133-228㎡","19500","一房一价 低容积 车位充足 双卫生间 "
"仁和西里","九龙坡区","3室","97.04-99.42㎡","13800","多轨交 轨交房 低容积 车位充足 "
"观宸二期","江北区","3室4室","128-217㎡","36000","多轨交 轨交房 双卫生间 主卧套房 "
"龙湖江上云玺","江北区","4室","117-138㎡","19000","车位充足 双卫生间 主卧套房 学校 "
"融创雲鼎城","沙坪坝区","4室","126.67-126.69㎡","15000","低容积 车位充足 双卫生间 双阳台 "
"观宸","江北区","3室4室5室","117-365㎡","36000","多轨交 轨交房 大阳台 双卫生间 "
"秀湖壹号","璧山区","3室4室","114-175㎡","没有价格","低容积 车位充足 双阳台 主卧套房 "
"招商1872商铺","九龙坡区",,"47.47-63.19㎡","27500","多轨交 轨交房 学校 购物中心 "
"华发四季半岛","南岸区","3室别墅","99-168㎡","18000","低容积 车位充足 大阳台 双卫生间 "
"重庆学樘金茂悦","九龙坡区",,"280607㎡","23374","轨交房 学校 购物中心 配套纯熟 "
"中船海悦城","万州区","3室","98.66-120.04㎡","6000","车位充足 大阳台 双卫生间 双阳台 "
"首钢云尚江来","两江新区","3室4室别墅","147-692㎡","18000","轨交房 低容积 双阳台 主卧套房 "
"仁安南山院子","南岸区","别墅","155-344.48㎡","199","车位充足 主卧套房 卧室全朝南 大户型 "
"石竹盛璟东方","江津区","2室3室4室","79-140.75㎡","6980","轨交房 车位充足 高绿化率 大阳台 "
"迪鑫阳光天玺","江津区","3室4室","96-132㎡","6700","主卧套房 学校 购物中心 配套纯熟 "
"中海璟里","江北区","1室2室3室","50-96㎡","25000","多轨交 轨交房 双阳台 主卧套房 "
"龙湖熙上","沙坪坝区","3室4室","92-163㎡","10900","双阳台 主卧套房 卧室全朝南 学校 "
"成都城投春江蘭庭","沙坪坝区","3室4室","88-143㎡","18600","低容积 车位充足 双卫生间 双阳台 "
"望园","渝北区","4室5室别墅","205-260㎡","365","低容积 车位充足 高绿化率 卧室全朝南 "
"龙湖温泉山语","璧山区","3室别墅","98-185㎡","5999","一房一价 低容积 全景飘窗 双阳台 "
"观音桥1号","江北区","1室2室","72.95-230㎡","27000","多轨交 轨交房 车位充足 高绿化率 "
"江津吾悦华府","江津区","3室4室","95-123㎡","4400","车位充足 双阳台 主卧套房 大户型 "
"海成云悦","渝北区","3室","76-100㎡","14500","轨交房 车位充足 双阳台 主卧套房 "
"融创中梁融耀城","江津区","3室4室","85-123㎡","6800","一房一价 轨交房 车位充足 双卫生间 "
"复地公园和光WISE公馆","两江新区","公寓","45.71㎡","7800","一房一价 轨交房 卧室全朝南 低单价 "
"越秀江山墅","渝北区","别墅","129-146㎡","11000","一房一价 低容积 车位充足 双阳台 "
"禹洲雍锦府","北碚区","2室3室4室","86.26-172㎡","8500","特价房 一房一价 低容积 车位充足 "
"东原月印万川","渝北区","3室4室","89-99㎡","14000","一房一价 低容积 车位充足 双阳台 "
"海成云沐","渝北区","3室4室","75-99㎡","16000","多轨交 轨交房 低容积 双阳台 "
"招商雍璟城","两江新区","3室4室","80.05-143㎡","9600","一房一价 轨交房 车位充足 学校 "
"万腾御景城","九龙坡区","3室4室别墅","87.41-127.73㎡","7200","轨交房 低容积 车位充足 双卫生间 "
"芸峰时代峰汇","江津区","3室4室","84.31-137.88㎡","4800","车位充足 双卫生间 双阳台 主卧套房 "
"金地自在城（金地峯境）","大渡口区","3室4室","81-135㎡","9000","双阳台 主卧套房 卧室全朝南 学校 "
"越秀悦映湖山","渝北区","3室别墅","87-139.29㎡","16300","一房一价 低容积 车位充足 双阳台 "
"旭辉铂宸中央","渝北区","3室4室","76-132㎡","17500","一房一价 轨交房 低容积 车位充足 "
"中建南宸玖樾","巴南区","3室4室别墅","87-121㎡","6328","特价房 低容积 车位充足 双阳台 "
"美的中骏云璟","渝北区","3室4室","93-99㎡","8800","一房一价 低容积 车位充足 双阳台 "
"华润置地重庆润府","渝北区","3室4室","99-143㎡","19800","一房一价 多轨交 轨交房 低容积 "
"江南万科城","巴南区","2室3室","71-100㎡","10500","一房一价 低容积 车位充足 双卫生间 "
"光明拾光里","渝北区","3室4室","99-127㎡","8000","一房一价 低容积 车位充足 双阳台 "
"旭辉江山青林半","巴南区","2室3室4室","69-140㎡","9000","一房一价 低容积 车位充足 双阳台 "
"星城原麓","璧山区","2室3室","66.52-89.56㎡","7000","车位充足 双阳台 主卧套房 卧室全朝南 "
"荣盛城","大渡口区","2室3室4室","89-119㎡","7300","车位充足 大阳台 双卫生间 双阳台 "
"爱情天宸万象","大渡口区","3室","79-89㎡","13500","一房一价 全景飘窗 双阳台 主卧套房 "
"中航昕晖璟辰","大渡口区","3室4室","78.1-145.92㎡","13500","一房一价 多轨交 轨交房 低容积 "
"中粮中央公园瑞府","渝北区","2室3室4室","79-124㎡","20000","轨交房 低容积 车位充足 双阳台 "
"中粮保利天玺壹号","两江新区","3室4室","102-199㎡","20000","多轨交 轨交房 低容积 双阳台 "
"保亿御景玖园","北碚区","3室别墅","91.56-249.23㎡","8000","一房一价 低容积 车位充足 双卫生间 "
"常青藤湖上初晴","渝北区","2室3室4室","81-134㎡","14000","特价房 车位充足 全景飘窗 大阳台 "
"象屿光海","渝北区","3室4室","89-99㎡","16000","一房一价 轨交房 低容积 双阳台 "
"华融现代城","江北区","1室2室","56.86-96.24㎡","8405","大阳台 双卫生间 双阳台 主卧套房 "
"保利大国璟","巴南区","3室4室5室","98-159㎡","7000","一房一价 低容积 双卫生间 双阳台 "
"春风与辰","九龙坡区","3室4室","88-133㎡","20000","多轨交 轨交房 车位充足 双卫生间 "
"永明荟","九龙坡区","3室","68.02-83.85㎡","8800","多轨交 轨交房 双阳台 主卧套房 "
"喜福里","渝北区","2室3室","68.5-101㎡","11000","轨交房 车位充足 双阳台 主卧套房 "
"黛山华庭","璧山区","2室3室","81.43-97.64㎡","5500","一房一价 双阳台 卧室全朝南 低单价 "
"荣安九龙壹号","九龙坡区","1室2室3室","63.11-98.81㎡","19000","轨交房 车位充足 双卫生间 双阳台 "
"中国铁建元时代","南岸区","2室3室","69-107㎡","14500","多轨交 轨交房 低容积 双卫生间 "
"渝悦江宸","北碚区","3室4室别墅","90-127㎡","13800","一房一价 低容积 车位充足 双阳台 "
"千山九龙天景","九龙坡区","2室3室","75-99㎡","13000","多轨交 轨交房 双阳台 主卧套房 "
"奥园悦府","九龙坡区","3室4室5室","85-136.85㎡","9900","一房一价 车位充足 双卫生间 双阳台 "
"合谊理想城","巴南区","3室4室","96-131㎡","9000","一房一价 轨交房 低容积 车位充足 "
"东原印悦","渝北区","3室4室","89-133㎡","15000","一房一价 车位充足 大阳台 双阳台 "
"北辰悦来壹号","两江新区","3室4室别墅","125-222㎡","10800","大阳台 双卫生间 双阳台 主卧套房 "
"联发黛山璟悦","璧山区","2室3室","67.22-88.64㎡","6500","一房一价 低容积 车位充足 双阳台 "
"中骏璟颂","璧山区","3室","99.31-101.25㎡","8100","车位充足 大阳台 双卫生间 双阳台 "
"桃源居","渝北区","2室3室4室别墅","80-284㎡","13050","低容积 高绿化率 双阳台 主卧套房 "
"首信皇冠学府","南岸区","2室3室","63.83-96.98㎡","15500","轨交房 车位充足 双阳台 主卧套房 "
"北辰香麓","渝北区","3室4室别墅","90.53-146.06㎡","16500","轨交房 低容积 车位充足 双阳台 "
"康田栖棠观樾","大渡口区","3室","83-97㎡","9300","轨交房 双卫生间 双阳台 主卧套房 "
"铂悦滨江","渝北区","3室4室","99-120㎡","16800","一房一价 轨交房 低容积 车位充足 "
"华宇金科锦绣原麓","大渡口区","3室别墅","93-199㎡","13500","轨交房 低容积 车位充足 双阳台 "
"春月锦庐","渝北区","3室4室","99-129㎡","17000","轨交房 低容积 主卧套房 装修交付 "
"保利天珺","两江新区","4室别墅","179-236.56㎡","19000","轨交房 低容积 车位充足 双卫生间 "
"鲁能星城外滩长江序","江北区","4室","236.25-267.26㎡","30000","多轨交 轨交房 低容积 车位充足 "
"重庆中交城","九龙坡区","3室4室","89.24-127.67㎡","14500","一房一价 双卫生间 双阳台 主卧套房 "
"中国铁建西派宸樾","大渡口区","3室4室","87-199㎡","13000","低容积 车位充足 双阳台 主卧套房 "
"保利和光尘樾","渝北区","3室4室别墅","95.85-145㎡","13000","多轨交 轨交房 车位充足 双阳台 "
"长嘉汇","南岸区","3室4室","96-174㎡","20000","轨交房 车位充足 双卫生间 双阳台 "
"万科星光天空之城","沙坪坝区","3室4室","87.3-119.22㎡","16900","特价房 低容积 主卧套房 装修交付 "
"俊峰山万里","沙坪坝区","别墅","109.76-125.88㎡","253","一房一价 轨交房 车位充足 双厨房 "
"海成云湖郡","渝北区","3室4室","88-170㎡","13600","人气榜 热搜榜 热聊盘 "
"新天泽玖誉","南岸区","3室4室","87-100㎡","13600","一房一价 低容积 双阳台 主卧套房 "
"融汇半岛克拉公馆","巴南区","3室4室","79-113㎡","12600","一房一价 轨交房 车位充足 双阳台 "
"渝开发南樾天宸宸府","南岸区","别墅","125-166㎡","179","大阳台 主卧套房 卧室全朝南 大户型 "
"保利爱尚里公寓","九龙坡区","公寓","38.93-46.03㎡","9500","轨交房 卧室全朝南 低单价 人气榜 "
"国浩18T","渝中区","1室2室3室4室","101-334㎡","35000","多轨交 轨交房 车位充足 双卫生间 "
"中绿江州","大渡口区","3室4室","86.79-138.52㎡","12500","一房一价 低容积 双卫生间 双阳台 "
"时代云著","璧山区","2室3室4室","71-121㎡","6500","车位充足 双阳台 主卧套房 卧室全朝南 "
"中诚两江印","北碚区","3室4室","92.55-99.98㎡","11200","低容积 车位充足 全景飘窗 双阳台 "
"建工筑美时光","渝北区","3室4室","75.81-99.99㎡","14000","多轨交 轨交房 低容积 双阳台 "
"自在莲花湖","沙坪坝区","3室4室","129-143㎡","14000","车位充足 主卧套房 厨卫全明 人气榜 "
"高科雲汀","渝北区","1室","35.9-62.58㎡","15000","一房一价 多轨交 轨交房 卧室全朝南 "
"东亚白云湖","璧山区","2室3室4室别墅","92-590.92㎡","6500","低容积 车位充足 高绿化率 低单价 "
"龙湖春屿江岸","北碚区",,"87100㎡","14000","低容积 "
"康田星樾","渝北区","3室","92.28-98.64㎡","14500","低容积 车位充足 双阳台 主卧套房 "
"建发书香府","北碚区","3室4室","90-100㎡","14000","低容积 大阳台 双卫生间 双阳台 "
"里城樾公馆","九龙坡区","3室","81-93㎡","14500","一房一价 多轨交 轨交房 双卫生间 "
"印江州","九龙坡区","3室4室","98-189㎡","18000","一房一价 多轨交 轨交房 车位充足 "
"中海寰宇时代璟悦","江北区","1室2室3室","49.9-97㎡","17408","一房一价 轨交房 车位充足 主卧套房 "
"美岸江山","南岸区","2室3室","62.2-98.76㎡","15400","双阳台 主卧套房 小户型 厨卫全明 "
"新天泽江上雲境","九龙坡区","3室4室","99-125㎡","17900","轨交房 低容积 车位充足 大阳台 "
"朗诗熙樾府","渝北区","3室4室","99-143㎡","15000","轨交房 低容积 双阳台 主卧套房 "
"首创天阅嘉陵","沙坪坝区","3室4室","188.09-225㎡","17800","一房一价 车位充足 双卫生间 主卧套房 "
"中海天钻","江北区","3室4室","195-264㎡","15000","一房一价 多轨交 轨交房 车位充足 "
"金科博翠园","南岸区","2室3室4室","68.43-126.41㎡","11000","一房一价 轨交房 学校 购物中心 "
"诚投天邻水岸","南岸区","1室2室3室","47.64-134.76㎡","11000","学校 购物中心 配套纯熟 小户型 "
"科学城置业翰林府","九龙坡区","3室4室","90-120㎡","11000","一房一价 低容积 双阳台 主卧套房 "
"华宇锦绣玺岸","大渡口区","3室4室","92-114㎡","12000","低容积 车位充足 双卫生间 双阳台 "
"邦泰西宸天骄","沙坪坝区","3室4室","93-125㎡","12500","轨交房 双卫生间 双阳台 主卧套房 "
"御湖新加坡国际花园","璧山区","3室4室","99-135㎡","9000","低容积 车位充足 大阳台 双卫生间 "
"中海寰宇时代","渝北区","2室3室","77-99㎡","25000","一房一价 多轨交 轨交房 双阳台 "
"铁建丨建发云著","北碚区","3室4室别墅","93-143㎡","15500","低容积 主卧套房 卧室全朝南 大户型 "
"香港置地启元","江北区","3室4室","124-245㎡","30000","多轨交 轨交房 车位充足 双卫生间 "
"永缘锦庭","沙坪坝区","3室4室","98.2-119.99㎡","16500","一房一价 轨交房 低容积 车位充足 "
"渝高星洲","北碚区","3室4室","129.22-172㎡","12500","一房一价 轨交房 车位充足 高绿化率 "
"华熙LIVE023 loft","巴南区","公寓","30-61㎡","8000","多轨交 轨交房 装修交付 低总价 "
"重庆中心","渝中区","3室5室","195-412㎡","28000","多轨交 轨交房 车位充足 大阳台 "
"华侨城天澜美墅","渝北区","别墅","244-672㎡","300","车位充足 大户型 "
"华宇御璟首玺","渝北区","3室别墅","100-167㎡","17500","一房一价 轨交房 低容积 车位充足 "
"中建清能悦和城","巴南区","3室","99.67-121㎡","13700","轨交房 车位充足 双阳台 主卧套房 "
"两江曲院风荷","两江新区","3室4室别墅","96-428㎡","10000","轨交房 低容积 车位充足 双阳台 "
"龙兴国际生态新城","两江新区","3室4室别墅","81.29-286㎡","8000","一房一价 低容积 车位充足 双卫生间 "
"中骏弘阳樾景台","北碚区","3室4室","99-125㎡","8600","一房一价 低容积 车位充足 大阳台 "
"世茂云著滨江","万州区","3室4室","80.25-147.3㎡","6500","双卫生间 双阳台 主卧套房 卧室全朝南 "
"中国铁建云锦山","北碚区","3室4室","90-120㎡","10500","低容积 车位充足 大阳台 双卫生间 "
"格力两江总部公园3期","两江新区","2室3室","68.5-95.9㎡","7700","一房一价 多轨交 轨交房 双卫生间 "
"天地源水墨江山","北碚区","3室4室","93-135㎡","9800","一房一价 车位充足 全景飘窗 大阳台 "
"迪鑫阳光天宸","江津区","3室4室","98-139㎡","5800","车位充足 双阳台 主卧套房 大户型 "
"桥达樾府","两江新区","3室别墅","104.11-140㎡","10000","轨交房 车位充足 双阳台 主卧套房 "
"景瑞江山御府","九龙坡区","3室","81-89㎡","7500","一房一价 低容积 双阳台 主卧套房 "
"嘉裕国际社区","江津区","2室3室4室","87.08-140㎡","4600","轨交房 低容积 车位充足 高绿化率 "
"宗申动力城","巴南区","1室2室3室","52.36-101.59㎡","6000","轨交房 学校 配套纯熟 小户型 "
"新城云樾","万州区","3室4室","99.47-118.39㎡","6000","低容积 双卫生间 双阳台 主卧套房 "
