"房源名称","地址","户型","占地面积","价格（每平方米）","特点"
"越秀·逸泉锦翠","从化区","3室4室","70-92㎡","9500","车位充足 双卫生间 主卧套房 装修交付 "
"南沙凤鸣山","南沙区","2室3室别墅","76-149㎡","16000","装修交付 大户型不限购 低总价 低单价 "
"保利时光印象","南沙区","3室4室","68-115㎡","21000","轨交房 双阳台 主卧套房 装修交付 "
"华润置地润悦","增城区","2室3室","85-140㎡","11000","一房一价 车位充足 主卧套房 装修交付 "
"中旅·名门府","花都区","3室4室","78-122㎡","20000","一房一价 双阳台 主卧套房 装修交付 "
"琶洲ONE57","海珠区","商业","34-67㎡","47000","多轨交 轨交房 装修交付 卧室全朝南 "
"中海亚运城","番禺区","3室4室","89-237㎡","26000","多轨交 轨交房 高绿化率 全景飘窗 "
"品实云湖花城","白云区","3室4室5室","70-141㎡","35000","轨交房 车位充足 双阳台 主卧套房 "
"越秀·白云·星汇城","白云区","3室4室","74-116㎡","18000","一房一价 轨交房 双阳台 主卧套房 "
"中海浣花里（紫兰苑）","荔湾区","2室3室4室","71-108㎡","46000","轨交房 双阳台 主卧套房 装修交付 "
"越秀·万博·瑞麓府","番禺区","4室5室","140-253㎡","48000","低容积 车位充足 高绿化率 双阳台 "
"越秀·天河·和樾府","天河区","3室4室","108-180㎡","85000","一房一价 轨交房 双阳台 主卧套房 "
"珠江花城","天河区","3室4室5室","76-194㎡","55000","双阳台 主卧套房 装修交付 大户型 "
"越秀星寰TOD","番禺区","3室","92-130㎡","38000","一房一价 轨交房 车位充足 双阳台 "
"保利华创·都荟天珺","天河区","4室","157-253㎡","100000","多轨交 轨交房 车位充足 双阳台 "
"合生湖山国际","增城区","2室3室4室","80-132㎡","18188","一房一价 车位充足 双阳台 主卧套房 "
"越秀滨江·星航TOD","黄埔区","3室4室5室","98-141㎡","46000","多轨交 轨交房 车位充足 全景飘窗 "
"明月豪庭","越秀区","商业","30-132㎡","28000","多轨交 轨交房 装修交付 学校 "
"深业颐泽府","南沙区","4室","101-190㎡","37000","轨交房 车位充足 双阳台 主卧套房 "
"星图TOD","增城区","3室4室","80-105㎡","18000","一房一价 轨交房 装修交付 学校 "
"广晟·中国铁建花语天珹","花都区","2室3室","97-137㎡","22000","车位充足 双卫生间 双阳台 主卧套房 "
"中铁·阅江来","南沙区","2室3室","88-126㎡","20000","大阳台 双卫生间 双阳台 主卧套房 "
"华润置地白鹅潭悦府","荔湾区","3室4室","135-243㎡","110000","多轨交 轨交房 双阳台 主卧套房 "
"星河·畔月湾","南沙区","2室3室4室","80-128㎡","20000","一房一价 车位充足 双阳台 主卧套房 "
