"房源名称","地址","户型","占地面积","价格（每平方米）","特点"
"保利世博天悦","浦东区","3室4室5室","174-252㎡","168000","一房一价 轨交房 双阳台 主卧套房 "
"保利虹桥和颂","青浦区","2室3室4室","74-115㎡","37000","一房一价 轨交房 车位充足 主卧套房 "
"上海建工·海玥泓邸","浦东区","3室4室别墅","86-142㎡","34015","一房一价 低容积 车位充足 双阳台 "
"中海·海上和集","杨浦区","3室4室","99-179㎡","121000","一房一价 多轨交 轨交房 车位充足 "
"保利琅誉","浦东区","3室4室","99-143㎡","117000","多轨交 轨交房 车位充足 主卧套房 "
"复地星愉湾","金山区","3室4室别墅","99-195㎡","31286","一房一价 低容积 车位充足 双阳台 "
"金地嘉境","嘉定区","3室别墅","90-142㎡","37500","一房一价 低容积 车位充足 大阳台 "
"中环桃源里","普陀区","2室3室4室","83-178㎡","83240","一房一价 轨交房 车位充足 主卧套房 "
"华发虹桥四季","青浦区","3室4室","90-130㎡","55969","一房一价 轨交房 主卧套房 装修交付 "
"华润置地虹桥润璟","青浦区","3室4室","92-198㎡","71101","一房一价 低容积 主卧套房 装修交付 "
"华纺·棠樾","金山区","2室3室4室别墅","78-140㎡","197","一房一价 低容积 主卧套房 装修交付 "
"建发联发青云上","浦东区","3室","95-116㎡","51500","一房一价 大阳台 双卫生间 主卧套房 "
"保利西郊和煦","松江区","3室4室别墅","96-165㎡","51000","低容积 主卧套房 装修交付 学校 "
"鹏瑞·云璟湾","浦东区","3室4室","89-145㎡","34000","一房一价 车位充足 全景飘窗 双卫生间 "
"云湖壹号·云邸","金山区","2室3室4室","76-151㎡","21179","低容积 主卧套房 装修交付 大户型 "
"大华锦绣四季","宝山区","3室4室","99-140㎡","49780","低容积 主卧套房 装修交付 大户型 "
"保利建发印象青城","青浦区","3室4室别墅","99-175㎡","49536","一房一价 车位充足 大阳台 双卫生间 "
"世纪金源梧桐印象","金山区","2室3室","78-100㎡","21883","一房一价 主卧套房 装修交付 三房朝南 "
"新华星耀东方","金山区","2室3室4室5室别墅","73-196㎡","24527","一房一价 低容积 主卧套房 装修交付 "
"上海桃花源","闵行区","别墅","200-225㎡","没有价格","车位充足 大阳台 主卧套房 学校 "
"中企誉品·银湖湾","松江区","3室4室","89-155㎡","59000","一房一价 低容积 装修交付 学校 "
"洋江唐顿公馆","松江区","2室3室","95-135㎡","56000","轨交房 低容积 车位充足 高绿化率 "
"金地新乐里","松江区","3室","92-100㎡","33220","一房一价 低容积 车位充足 主卧套房 "
"水尚华庭","金山区","3室4室","90-144㎡","31900","一房一价 车位充足 双卫生间 主卧套房 "
"碧云澧悦","浦东区","3室4室","93-165㎡","56000","一房一价 低容积 车位充足 主卧套房 "
"中建大椿·嘉利椿廷","松江区","3室别墅","96-150㎡","330","一房一价 主卧套房 装修交付 复式 "
"恒都云湾","松江区","2室3室","73-92㎡","47100","一房一价 低容积 主卧套房 装修交付 "
"蟠龙里","青浦区","3室4室","100-145㎡","65000","一房一价 多轨交 轨交房 车位充足 "
"港城悦庭","浦东区","3室","92-141㎡","32956","一房一价 轨交房 低容积 车位充足 "
"中交·凤启虹桥","青浦区","2室3室4室","74-127㎡","43000","一房一价 低容积 车位充足 主卧套房 "
"明园叠翠苑","静安区","3室4室别墅","260-280㎡","105000","轨交房 车位充足 大阳台 双卫生间 "
"长城逸府","金山区","3室4室","88-125㎡","21579","一房一价 轨交房 低容积 车位充足 "
"绿城·留香园","嘉定区","3室4室","95-170㎡","63043","一房一价 轨交房 主卧套房 装修交付 "
"贝尚湾·翰庭","松江区","3室5室","104-175㎡","54000","一房一价 轨交房 低容积 高绿化率 "
"盘古园府","嘉定区","2室3室4室","81-125㎡","48230","一房一价 轨交房 低容积 车位充足 "
"峰度天下","闵行区","商办","160-230㎡","没有价格",
