"职业","工作地址","薪资"
"不限工龄包住起薪6000","中央公园","6000-9000元"
"两路+机场急招外卖","两路","6666-9111元"
"北碚新老城单多急需送餐员","城南新区","7799-9799元"
"冉家坝有底薪骑手提供车住","冉家坝","5698-8888元"
"夜班包住手机接单","冉家坝","6666-9900元"
"月9000包吃周末双休","回兴","6000-9000元"
"抗压能力强员工旅游","人和","5000-10000元"
"周末双休：16岁以上均可烟草…","渝北","6500-7500元"
"招美甲美睫学徒+化妆学徒","观音桥","面议"
"实体名店招化妆+美甲学徒","南坪","面议"
"无经验育儿嫂","沙坪坝","面议"
"公司提供车辆系统自动派单底薪…","人和","7800-13000元"
"巡检（两班倒）","西彭","4000-6000元"
"急招外卖骑手供车供住无押金月…","回龙湾","6000-9000元"
"遵守交通规则包住","江北嘴","8000-12000元"
"周末双休/有无经验均可9…","南坪","面议"
"照母山房产销售","鸳鸯","8000-15000元"
"大小休/没任何费用8000","陈家桥","7000-8000元"
"演员艺人","袁家岗","8000-15000元"
"不限工龄新能源车","九龙坡","8000-15000元"
"货运司机（接单）","九龙坡","11000-13000元"
"南岸骑手站点配车宿舍入职奖1…","回龙湾","5000-9000元"
"急着骑手免费用车免装备住宿","大石坝","8800-9900元"
"不受任何费用包吃","龙头寺","6898-8968元"
"跑单送餐/赚钱简单/8千","新牌坊","5500-9700元"
"提供车住骑手奖励3千等你来拿","弹子石","8800-9900元"
"师傅带/无收任何费用88…","冉家坝","6666-8888元"
"沙坪坝送餐员0元租车/新人奖…","小龙坎","5001-9000元"
"集团直招网约车司机待遇好","学府大道","7800-12000元"
"重庆送餐员单多新人奖提成高","龙头寺","6000-9900元"
"手机配件打包260/天","沙坪坝","6500-7500元"
"招聘超市货物配送货运司机","土主","7000-11000元"
"新人微胖试衣模特不限身高","观音桥","12000-20000元"
"急聘KTV服务员化妆上班","观音桥","面议"
"25/小时坐班包装工包吃包住","大学城","6000-7500元"
"无需经验小白客服包吃包住","石桥铺","4000-6000元"
"诚聘足浴店前厅部主管","潼南城区","7000-10000元"
"280一天烟草打包员包吃住","大学城","6200-7500元"
"注塑主管","双福新区","6000-8000元"
"急聘包装工包吃住月7000","涪陵","6000-7000元"
"璧山美团分拣238一天","璧山高…","6000-8000元"
"坐岗手机盒包装员260每天","铜梁城区","6000-7500元"
"新人服装模特时间自由日结","三峡广场","6000-10000元"
"聘服务员请投递简历","谢家湾","3000-6000元"
"物业维修操作员五险线切割","井口","6000-8000元"
"试衣服模特一一胖瘦不限","观音桥","8000-12000元"
"服装模特不露脸可日结","沙坪坝","12000-15000元"
"诚招中餐前厅主管5千包吃包住","冉家坝","5000-5500元"
"KTV服务员淡妆上班","江北黄…","面议"
"周结包装工240/天包吃住","九宫庙","6500-7500元"
"月薪8k待遇优招汽车销售","黔江城区","5000-10000元"
"央企急聘普工280/天待遇好","龙兴","6500-7500元"
"渝北汽配普工包吃住周结","空港","4500-5500元"
"美团站点直招骑手提供吃住","龙头寺","6999-9499元"
"高薪招按摩师包吃住","临江门","面议"
"主城外卖员8k解决吃住车站点…","九宫庙","5999-8999元"
"市场专员","二郎","7000-12000元"
"摄像头组装270一天人走帐清","陈家桥","6000-7500元"
"足疗按摩SPA","北环","12000-15000元"
"物流搬运可至54岁专线","北碚","6500-8500元"
"月薪7k包吃住机械维修工","巴南","7000-8000元"
"急招AD钙奶包装月七千可短期","渝北","7000-7500元"
"物流跟车搬运8500","北碚","6500-8500元"
"新店急招服务员","谢家湾","5000-8000元"
"中医理疗推拿师","石马河","4000-8000元"
"限时美容学徒，免费学美容","红旗河沟","面议"
"高薪招聘餐厅门店店长","大学城","3000-6000元"
"手机监控音响新部门280/天…","沙坪坝","6500-7500元"
"美团分拣打包可预支有住宿","璧山高…","6000-8000元"
"打着灯笼找不到的主播工作","二郎","8000-10000元"
