"职业","工作地址","薪资"
"每天一结钱会开车你就来","颛桥","12000-18000元"
"招聘接送乘客司机每日一结","颛桥","12000-18000元"
"柔式SPA师-保底3个起","东外滩","面议"
"上海网约车司机0押金0租金包…","淞南","11200-15000元"
"无费用网约司机工资一万二交五…","淞南","12000-15000元"
"诚聘纯C1驾驶员工资日结","刘行","12000-15000元"
"驻店超市招骑手待遇优厚","万里城","8000-12000元"
"气质款珠宝拍摄中老年新人","丰庄","12500-15500元"
"可不露脸中老年试衣模特","马桥","12500-15500元"
"公司招网约司机保底1万二无押…","上海","12000-18000元"
"C1司机0押0租包住周结","颛桥","9000-16000元"
"骑手骑车上下班可日结","虹口周…","9000-15000元"
"女装新人试衣可微胖可大龄","江桥","8000-12000元"
"中老年女装模特可新人小白","朱桥","8000-12000元"
"萨克斯老师","大华","9000-18000元"
"长笛/竹笛老师","大华","9000-18000元"
"中大龄女装模特空闲工作","友谊路","8000-12000元"
"0押金租金上班方式司机保底1…","宝山","13000-18000元"
"中大龄女装模特无需高颜值","嘉定新城","8000-12000元"
"育婴师（月1.5w包住）","光新","8000-15000元"
"保底1万2网约司机包住0押金","宝山","12000-15000元"
"网约司机公司出车你出人月薪过万","新桥","12000-15000元"
"商务司机周末双休","航头","13000-18000元"
"不限工龄公司配车","金山新城","8000-15000元"
"带车司机电话联系","上海","8000-9000元"
"无需学历c1司机","颛桥","8000-15000元"
"不限工龄包住底薪6000","南翔","6000-12000元"
"C1驾驶员0押0租包住","松江工…","12000-18000元"
"有经验皮具护理师直接电话联系","西藏北路","10000-15000元"
"月1w良好的人际沟通","闵行","5000-10000元"
"接受无经验包住","新桥","13000-16000元"
"月1.5w周末双休","罗店","面议"
"公司直招/日结/包住","华漕","10000-12000元"
"上海直招诚聘司机保底1.2w…","杨行","12000-16000元"
"招3名小车司机底薪12000…","颛桥","13000-15000元"
"上海网约车平台直招司机包住","康桥","14000-15000元"
"梦想之旅司机招募启动","松江工…","12000-15000元"
"周结包住月1.5w","杨东","12000-15000元"
"浦西浦东招有经验缝纫工改衣师…","淮海中路","6600-10000元"
"上海网约车司机0押金五险一金","莘庄北…","12000-15000元"
"客运司机（日结工）","顾村","9000-12000元"
"新能源车弹性自由月1.5w","闵行","10000-15000元"
"平台直招司机无责保底1W","颛桥","8000-17000元"
"公司直招小车司机包住零押金接…","杨行","11000-15000元"
"招空调工/锅炉工-需有证","花木","面议"
"直招网约司机自己提现包住","康桥","12000-15000元"
"公司活动多高薪","杨行","面议"
"不租不买直招司机流水日结包吃住","莘庄北…","12000-15000元"
"公司配车周结月入1.5W","颛桥","8000-15000元"
"直聘调酒学徒服务员包吃住","陆家嘴","6500-8000元"
"拼夕夕大龄女装试衣工资OK","西藏北路","面议"
"长白班装卸搬运工月薪过万","真光","8000-10000元"
"直招服务员包吃住","共康","6500-8000元"
"ktv高薪酒水促销员","上海","8000-12000元"
"懒人小厂招质检300一天包吃住","康桥","8400-8500元"
"下单员","五角场","6000-12000元"
"高薪诚聘足疗技师包吃包住","真新","12000-15000元"
"奉贤安能8千装卸工","奉城","7500-10000元"
"诚聘健身教练（桂林公园店）","漕宝路站","15000-30000元"
"普陀财务会计助理","长征","5000-7000元"
"机械设计工程师","泗泾","5500-9000元"
"家具安装工","马陆","8000-14000元"
"餐饮服务员包吃住电话联系","罗泾","5000-6000元"
"8k起汽车钣金工包吃住","宝山","10000-13000元"
"贴标签300一天岗位轻松包吃住","康桥","8400-8500元"
"驻店快递员/免费车子/就送一…","西郊公园","10000-15000元"
"晚礼服团队时装展示走秀模特包…","九亭","8000-15000元"
"张江碧波路招保洁主管","上海","8000-8200元"
"急招5000以上服务员包食宿","北蔡","5000-6000元"
"8K+美容师","三林","10000-15000元"
