"职业","工作地址","薪资"
"有团建活动月8500","横岗","6000-8500元"
"spa按摩技师无需经验者高薪","龙岗中…","面议"
"推拿师调理亚健康调理师艾灸师","民治","面议"
"亚健康调理推拿师/助理","民治","面议"
"礼仪服装展示模特","龙华","6000-8000元"
"急招高提成报关业务员","莲塘","6000-12000元"
"不用经验+穿普通工衣+车间环…","龙华中…","8000-8500元"
"坐着上班｜普工临时工混工时7…","坪地","7800-8500元"
"新能源车货运司机","大浪","10000-12000元"
"育婴师（周末双休）","后亭","面议"
"货运司机/线上接单","龙华","8000-12000元"
"坐班普工轻松自在包吃包住","横岗","8000-8500元"
"家政服务人员（做饭搞卫生）","龙岗","面议"
"随便吃/包装工/食品厂","油松","8000-8500元"
"幼教/包吃/周末双休","深圳湾","15000-25000元"
"1万招聘儿童成长陪伴师","百鸽笼","面议"
"高薪直招家政保洁稳定派单","华强北","面议"
"住家保姆（周末双休）","沙井","面议"
"私人司机一名（纯打工)","龙岗","8000-12000元"
"酒吧服务员晚班日结包吃住","深圳北站","6000-8000元"
"私人司机一名（只拿工资）","沙井","9000-13000元"
"小厂普工包吃住可带手机","丹竹头","7360-8370元"
"制衣厂招c1司机","沙井","8000-12000元"
"深圳福田便利店收银员招工","华强北","4310-5310元"
"不找中介进厂的来30/小时普工","横岗","8000-8500元"
"客房服务员包吃住提成高","西乡","面议"
"观澜贴标签（220一天白班包…","深圳","7000-8000元"
"深圳比亚迪急招普工24元/时","龙岗","5500-7500元"
"汉服旗袍服装礼仪包食宿","新安","10000-13000元"
"酒吧服务员包吃住环境好","清湖","4999-7999元"
"高薪招美容店长五险包住","蛇口","10000-18000元"
"葵涌比亚迪工厂直招普工250…","葵涌","5500-7500元"
"招服务员包食宿待遇优","黄贝岭","4500-5500元"
"免费中医学徒助理","莲塘","6500-13000元"
"新店招烘焙学徒不会可教","龙岗","面议"
"按摩SPA师有无经验均可","东门","面议"
"零基础面包西点学徒包吃住","马安山","面议"
"纯正规K歌足疗店足疗师","大浪","10000-12000元"
"高级机械结构工程师","宝安区","20000-38000元"
"行政文员","龙岗","面议"
"急招建筑小工240元/天","公明","8000-10000元"
"牛奶配送货运司机","沙井","7500-9000元"
"急聘服务员包吃住待遇好","美丽3…","5000-6000元"
"手工面面点师（深圳体校）","大运","5000-8000元"
"边减脂边工作8k健身学徒包吃住","龙岗","面议"
"公寓酒店前台","西乡","4500-7500元"
"小程序开发","深圳","8000-12000元"
"按摩SPA师包吃住不熬夜","皇岗","12000-15000元"
"服务员包吃住4500保底","平湖","4500-5500元"
"高薪诚聘带货主播+轻松","龙岗","6000-12000元"
"游戏主播","沙井","6000-10000元"
"气氛组队员/来就上班","深圳周边","7000-8000元"
"急聘包吃住美容店长五险一金","福永","15000-30000元"
"诚聘酒吧服务员","蔡屋围","5000-8000元"
"98气氛组/500/天可新手…","龙岗","9000-15000元"
"足浴技师","横岗","10000-15000元"
"包吃住美容师保底12k","沙井","8000-13000元"
"高薪招外贸运营专员","松岗","5000-8000元"
"小厂白班包装五险一金8K","李朗","8000-8500元"
"急招长白班普工包吃住待遇优","龙岗","6800-7800元"
"按摩SPA师永久保底包吃住","后海","面议"
"急招音乐餐吧前台收银","华强南","5000-6000元"
"厂长/副厂长","光明","8000-12000元"
"小厂包吃住长白班普工不体检坐…","南联","6900-7900元"
"可提供吃住配车日均50单送餐员","南山中…","8500-11666元"
"餐饮学徒待遇好","南山中…","面议"
"招聘财务","松岗","面议"
"服务员包吃住4.2k起","宝华","4200-7000元"
"单亲家庭聘请阿姨月薪过万","大浪","9800-12800元"
"南山招聘有经验美容顾问","南山区","6000-10000元"
